text,intent
I want my room cleaned,room_cleaning
Please clean my room,room_cleaning
Can you clean the room,room_cleaning
I need housekeeping,room_cleaning
Make my bed please,room_cleaning
Tidy up my room,room_cleaning
I won't get my room cleaned,room_cleaning
Room needs cleaning,room_cleaning
Send housekeeping,room_cleaning
Clean the room please,room_cleaning
I'd like housekeeping service,room_cleaning
The room needs to be cleaned,room_cleaning
Can someone clean my room,room_cleaning
I need the maid,room_cleaning
Send someone to clean,room_cleaning
My room is messy,room_cleaning
Please tidy the room,room_cleaning
Housekeeping please,room_cleaning
I want housekeeping,room_cleaning
Clean my room now,room_cleaning
Can you make the bed,room_cleaning
Please make my bed,room_cleaning
I need the bed made,room_cleaning
Change my sheets,room_cleaning
I need fresh sheets,room_cleaning
Replace the bedding,room_cleaning
New sheets please,room_cleaning
Change the bed sheets,room_cleaning
Fresh bedding please,room_cleaning
Can I get clean sheets,room_cleaning
I need two towels,towel_request
Can I get some towels,towel_request
Bring me towels please,towel_request
I need more towels,towel_request
Three towels please,towel_request
Extra towels,towel_request
I need too towers,towel_request
Send up some towels,towel_request
Can I have towels,towel_request
I need fresh towels,towel_request
More towels please,towel_request
Bring towels,towel_request
I need clean towels,towel_request
Four towels please,towel_request
Send me towels,towel_request
Can you bring towels,towel_request
I want more towels,towel_request
Additional towels please,towel_request
I need bath towels,towel_request
Bring me some towers,towel_request
I need hand towels,towel_request
Extra bath towels,towel_request
Can I get extra towels,towel_request
Five towels please,towel_request
Send towels to my room,towel_request
I need toilet paper,toiletries_request
Can I get toilet paper,toiletries_request
Bring toilet paper,toiletries_request
I need more toilet paper,toiletries_request
Send toilet paper,toiletries_request
Toilet paper please,toiletries_request
I need shampoo,toiletries_request
Can I get shampoo,toiletries_request
Bring shampoo please,toiletries_request
I need conditioner,toiletries_request
Send soap please,toiletries_request
I need soap,toiletries_request
Bring me soap,toiletries_request
I need shower gel,toiletries_request
Can I get body wash,toiletries_request
I need a toothbrush,toiletries_request
Toothbrush please,toiletries_request
I need toothpaste,toiletries_request
Can I get toothpaste,toiletries_request
I need a razor,toiletries_request
Bring me a razor,toiletries_request
I need shaving cream,toiletries_request
Can I get toiletries,toiletries_request
I need bathroom supplies,toiletries_request
Send bathroom amenities,toiletries_request
Can I order breakfast,food_order
I'm hungry,food_order
Room service please,food_order
I want to order food,food_order
Bring me dinner,food_order
Can I get lunch,food_order
Order room service,food_order
I'd like to eat,food_order
Send up some food,food_order
I want breakfast,food_order
I need food,food_order
Can I order lunch,food_order
I want dinner,food_order
Room service menu,food_order
I'd like to order,food_order
Bring me food,food_order
I want to order a meal,food_order
Can I get room service,food_order
Order food please,food_order
I'm starving,food_order
I need something to eat,food_order
Can I order a sandwich,food_order
I want a burger,food_order
Bring me pizza,food_order
I'd like coffee,food_order
Can I get coffee,food_order
Send up coffee,food_order
I need coffee,food_order
Coffee please,food_order
Bring me tea,food_order
I want tea,food_order
Can I get tea,food_order
Tea please,food_order
I need water,food_order
Bring me water,food_order
Can I get water,food_order
Bottled water please,food_order
I need drinks,food_order
Can I get beverages,food_order
I want a drink,food_order
Bring me juice,food_order
Orange juice please,food_order
I need breakfast in bed,food_order
Continental breakfast please,food_order
I want eggs,food_order
Can I get pancakes,food_order
Bring me toast,food_order
I need fruit,food_order
It's too hot,temperature_control
Turn on AC,temperature_control
Air conditioning please,temperature_control
It's cold,temperature_control
Adjust temperature,temperature_control
Turn off heating,temperature_control
Change thermostat,temperature_control
Make it cooler,temperature_control
I need AC,temperature_control
Turn up the AC,temperature_control
It's too warm,temperature_control
Can you lower the temperature,temperature_control
I'm hot,temperature_control
I'm cold,temperature_control
Increase the heat,temperature_control
Turn on the heater,temperature_control
Make it warmer,temperature_control
The room is too hot,temperature_control
The room is too cold,temperature_control
Adjust the thermostat,temperature_control
Can you change the temperature,temperature_control
I need the AC on,temperature_control
Turn down the heat,temperature_control
Make it less cold,temperature_control
The AC is too strong,temperature_control
Turn off the air conditioning,temperature_control
The heating is too high,temperature_control
Can you adjust the climate,temperature_control
The AC is not working,maintenance
TV is broken,maintenance
Light not working,maintenance
Need repair,maintenance
Something is broken,maintenance
Fix the sink,maintenance
Toilet issue,maintenance
Plumbing problem,maintenance
The shower is broken,maintenance
Toilet won't flush,maintenance
Water leak,maintenance
No hot water,maintenance
The tap is leaking,maintenance
Door won't close,maintenance
Lock is broken,maintenance
Window won't open,maintenance
Lights are out,maintenance
Remote doesn't work,maintenance
Phone isn't working,maintenance
WiFi is down,maintenance
Internet not working,maintenance
The safe won't open,maintenance
Fridge is broken,maintenance
Minibar issue,maintenance
Something needs fixing,maintenance
I need maintenance,maintenance
Send maintenance please,maintenance
Repair needed,maintenance
Technical issue,maintenance
Equipment malfunction,maintenance
Broken appliance,maintenance
The hairdryer doesn't work,maintenance
Iron is broken,maintenance
Coffee machine broken,maintenance
Kettle not working,maintenance
Wake me up at 7,wake_up_call
Set alarm for 8 am,wake_up_call
Morning call please,wake_up_call
Wake up call,wake_up_call
Call me at 6,wake_up_call
I need a wake up call,wake_up_call
Wake me at 7 am,wake_up_call
Morning call at 6,wake_up_call
Can you wake me up,wake_up_call
Set wake up call,wake_up_call
I need an alarm,wake_up_call
Call my room at 5,wake_up_call
Wake me tomorrow at 8,wake_up_call
6 am wake up call,wake_up_call
Morning call for 7,wake_up_call
Wake me at sunrise,wake_up_call
Early morning call,wake_up_call
Set my alarm,wake_up_call
I need to wake up early,wake_up_call
Call me in the morning,wake_up_call
Turn on the lights,lighting_control
Lights please,lighting_control
Turn off lights,lighting_control
Dim the lights,lighting_control
Make it brighter,lighting_control
Lights on,lighting_control
Lights off,lighting_control
I need light,lighting_control
Turn off the lamp,lighting_control
Turn on the lamp,lighting_control
Brighten the room,lighting_control
Make it darker,lighting_control
Lower the lights,lighting_control
Increase brightness,lighting_control
Can you turn on lights,lighting_control
Switch on the lights,lighting_control
Switch off the lights,lighting_control
I need more light,lighting_control
It's too dark,lighting_control
Too bright,lighting_control
Adjust lighting,lighting_control
Turn on bedside lamp,lighting_control
Turn off all lights,lighting_control
I need extra pillows,pillow_request
Can I get more pillows,pillow_request
Bring me pillows,pillow_request
I need another pillow,pillow_request
Extra pillows please,pillow_request
Two more pillows,pillow_request
Send up pillows,pillow_request
I need soft pillows,pillow_request
Can I get firm pillows,pillow_request
I need a pillow,pillow_request
Bring pillows please,pillow_request
More pillows,pillow_request
Additional pillows,pillow_request
I need hypoallergenic pillows,pillow_request
Feather pillows please,pillow_request
I need a blanket,blanket_request
Can I get an extra blanket,blanket_request
Bring me a blanket,blanket_request
I need another blanket,blanket_request
More blankets please,blanket_request
Extra blanket,blanket_request
I'm cold need a blanket,blanket_request
Send a blanket,blanket_request
Can I have a duvet,blanket_request
I need a warm blanket,blanket_request
Bring me bedding,blanket_request
I need a comforter,blanket_request
Heavy blanket please,blanket_request
Light blanket please,blanket_request
Call a taxi,concierge_taxi
I need a taxi,concierge_taxi
Book a cab,concierge_taxi
Can you get me a taxi,concierge_taxi
Taxi please,concierge_taxi
I need transport,concierge_taxi
Call me a cab,concierge_taxi
Arrange a taxi,concierge_taxi
I need a ride,concierge_taxi
Book taxi to airport,concierge_taxi
Get me a car,concierge_taxi
I need transportation,concierge_taxi
Cab to downtown,concierge_taxi
Taxi to the station,concierge_taxi
Can you call Uber,concierge_taxi
I need tourist information,concierge_general
What are the attractions,concierge_general
Where can I eat,concierge_general
Restaurant recommendations,concierge_general
I need directions,concierge_general
Where is the gym,concierge_general
Pool location,concierge_general
Where's the restaurant,concierge_general
What time is breakfast,concierge_general
When does the pool close,concierge_general
I need a map,concierge_general
Tourist spots nearby,concierge_general
Things to do,concierge_general
Local attractions,concierge_general
Best restaurants,concierge_general
I want to do not disturb,do_not_disturb
Do not disturb please,do_not_disturb
Don't disturb me,do_not_disturb
I need privacy,do_not_disturb
No cleaning please,do_not_disturb
Skip housekeeping,do_not_disturb
Don't clean my room,do_not_disturb
I don't need service,do_not_disturb
Leave me alone,do_not_disturb
No housekeeping today,do_not_disturb
Don't come in,do_not_disturb
Privacy please,do_not_disturb
No service needed,do_not_disturb
I need my bill,checkout_billing
Check out please,checkout_billing
I'm checking out,checkout_billing
Can I get my invoice,checkout_billing
I want to check out,checkout_billing
Bill please,checkout_billing
I need the receipt,checkout_billing
Checkout time,checkout_billing
Prepare my bill,checkout_billing
I'm leaving,checkout_billing
Final bill please,checkout_billing
I need to settle up,checkout_billing
Can I check out,checkout_billing
I want my invoice,checkout_billing
Print my bill,checkout_billing
I want to extend my stay,checkout_billing
Late checkout please,checkout_billing
Can I checkout late,checkout_billing
Extend one more night,checkout_billing
I need another day,checkout_billing
I need ice,misc_request
Can I get ice,misc_request
Bring ice please,misc_request
Ice bucket,misc_request
Send up ice,misc_request
I need an iron,misc_request
Can I get an iron,misc_request
Bring me an iron,misc_request
Ironing board please,misc_request
I need hangers,misc_request
More hangers please,misc_request
Can I get coat hangers,misc_request
I need a hairdryer,misc_request
Hairdryer please,misc_request
Can I get a blow dryer,misc_request
I need an adapter,misc_request
Power adapter please,misc_request
I need a charger,misc_request
Phone charger please,misc_request
I need USB cable,misc_request
I lost my key,emergency
I can't get in my room,emergency
Locked out,emergency
Lost room key,emergency
Key card not working,emergency
I'm locked out,emergency
Can't open the door,emergency
Door won't open,emergency
I need help,emergency
Emergency,emergency
Medical emergency,emergency
I feel sick,emergency
I need a doctor,emergency
Call an ambulance,emergency
There's a fire,emergency
Fire alarm,emergency
I smell smoke,emergency
Security issue,emergency
I feel unsafe,emergency
Someone is bothering me,emergency
Noise complaint,noise_complaint
It's too noisy,noise_complaint
The neighbors are loud,noise_complaint
Too much noise,noise_complaint
I can't sleep noise,noise_complaint
People are being loud,noise_complaint
Noisy guests,noise_complaint
Can you quiet them down,noise_complaint
Noise next door,noise_complaint
Music is too loud,noise_complaint
Party noise,noise_complaint
Loud neighbors,noise_complaint
Disturbance complaint,noise_complaint
